source_rank	lemma	count_in_source	english_gloss
18001	luigi	36	a male given name from Germanic, equivalent to English Louis or Lewis, a male given name from Latin, of historical usage, equivalent to English Louis, notably borne by several French monarchs, louis
18002	macinato	36	ground, minced
18003	manna	36	manna
18004	marianne	36	
18005	matikainen-kallström	36	
18006	melo	36	apple tree, apple, song; poetry
18007	metrologia	36	metrology
18008	mezz	36	
18009	microscopico	36	microscopic
18010	minuziosamente	36	painstakingly
18011	mo'	36	only used in a mo' di
18012	momentaneamente	36	momentarily
18013	montagnoso	36	mountainous
18014	muto	36	mute, dumb
18015	naïr	36	
18016	nedelcheva	36	
18017	nell'acquisto	36	
18018	nell'aver	36	
18019	nell'individuazione	36	
18020	nichel-cadmio	36	
18021	north	36	
18022	omologa	36	
18023	parodia	36	parody
18024	pasta	36	pasta; dough; pastry
18025	pastiglia	36	pastille, lozenge, ellipsis of pastiglia dei freni; brake pad
18026	pelagiche	36	
18027	pellicola	36	film
18028	perimetro	36	perimeter
18029	piccolissimo	36	
18030	placement	36	
18031	plastificare	36	to plasticize, to coat with plastic
18032	point	36	
18033	ponzio	36	Pontius
18034	posa	36	pose, posing, exposure, placing, laying
18035	pregresso	36	past, previous
18036	prevenirle	36	
18037	profano	36	the profane, layman
18038	programme	36	
18039	prosciutto	36	ham
18040	puzzle	36	jigsaw puzzle, a difficult problem
18041	quarantina	36	approximately forty, period of forty days
18042	quell'obiettivo	36	
18043	radioprotezione	36	radioprotection
18044	rammaricarsi	36	to feel bitterness or regret; to regret
18045	reperibilità	36	availability, the state of being on call
18046	reverendo	36	reverend
18047	roccaforte	36	stronghold, fort
18048	royalty	36	royalty
18049	rushdie	36	
18050	scatenarsi	36	to break, to break out, to get enthusiastic or excited
18051	scogliera	36	cliff
18052	sescu	36	
18053	seta	36	silk
18054	sfollamento	36	evacuation
18055	sincerarci	36	
18056	smarrito	36	lost, bewildered, nonplussed
18057	solere	36	be
18058	solitudine	36	solitude
18059	sommarsi	36	to add up
18060	sommatoria	36	summation
18061	spiegarle	36	
18062	statu	36	
18063	stoiber	36	
18064	stupefare	36	to stun or astound, to be stunned or astounded
18065	subdolo	36	underhand, sneaky, insidious
18066	sudore	36	sweat
18067	suez	36	Suez
18068	sull'alcol	36	
18069	sull'ulteriore	36	
18070	sussidiario	36	ancillary
18071	svilupparla	36	
18072	tassista	36	taxi driver
18073	tela	36	canvas
18074	telegramma	36	telegram
18075	todini	36	
18076	torturatore	36	torturer
18077	tradurlo	36	
18078	trascinarsi	36	to drag oneself or shuffle about, to drag, drag on
18079	trasformandosi	36	
18080	trasmetterci	36	
18081	traversa	36	crossbeam, crosspiece, ledger, sleeper, tie, side road
18082	travisamento	36	misrepresentation, distortion
18083	trincea	36	trench
18084	tutelarci	36	
18085	tutelarne	36	
18086	ultimatum	36	ultimatum
18087	un'equilibrata	36	
18088	un'impasse	36	
18089	valersi	36	to make use
18090	ventisei	36	twenty-six
18091	vietarne	36	
18092	viking	36	
18093	vitae	36	
18094	volpe	36	fox
18095	voltafaccia	36	volte-face, about turn, about-face
18096	wto	36	
18097	yanukovych	36	Yanukovych
18098	-relazione	35	
18099	abidjan	35	Abidjan
18100	abnorme	35	abnormal, extraordinary
18101	accidentalmente	35	accidentally
18102	accorrere	35	hurry
18103	accrescimento	35	accretion
18104	addizionare	35	to add, add up
18105	all'allevamento	35	
18106	all'annuncio	35	
18107	all'aperto	35	outdoor, open-air, alfresco
18108	all'europol	35	
18109	all'opposto	35	
18110	almeida	35	
18111	alveare	35	beehive
18112	amputare	35	to amputate
18113	anarchico	35	anarchic
18114	andrej	35	
18115	anonimato	35	anonymity
18116	anwar	35	
18117	anzitempo	35	prematurely
18118	apocalittico	35	apocalyptic
18119	avamposto	35	outpost
18120	azzurrare	35	to colour/color blue
18121	battistrada	35	tread, pace setter, leader
18122	berlato	35	
18123	bert	35	
18124	bieco	35	sinister, sullen, baleful
18125	bu	35	a unit of length equal to 1.818 metres, a unit or area equal to 3.306 metres², a tenth
18126	burattino	35	puppet
18127	calotta	35	cap, skull
18128	cambiarlo	35	
18129	capitalizzare	35	capitalise
18130	carcerato	35	prisoner
18131	carlsson	35	
