source_rank	lemma	count_in_source	english_gloss
18001	antiqua	14	
18002	apice	14	apex
18003	appartare	14	to set apart, to segregate
18004	appetito	14	appetite
18005	applaudito	14	famous, celebrated
18006	approccio	14	approach
18007	aprendosi	14	
18008	aquilino	14	aquiline
18009	aquisgrana	14	Aachen
18010	archibugio	14	harquebus
18011	arciprete	14	archpriest
18012	area	14	area
18013	arenare	14	to run aground
18014	argomentazione	14	argument
18015	arianesimo	14	Arianism
18016	armeggiare	14	scheme
18017	arnisio	14	
18018	arrendevole	14	yielding, compliant
18019	arringa	14	harangue, address
18020	arrotare	14	sharpen
18021	ascoli	14	
18022	ased-ibn-forât	14	
18023	asinello	14	
18024	assalí	14	
18025	assegno	14	cheque, traveller's cheque, blank cheque
18026	assurdità	14	nonsense
18027	atrocemente	14	atrociously, terribly, dreadfully, excruciatingly
18028	attesochè	14	
18029	attinse	14	
18030	attrattiva	14	attraction
18031	attualità	14	actuality
18032	augustodunum	14	
18033	ausiliarii	14	
18034	auspicio	14	auspice
18035	austro-italica	14	
18036	avendole	14	
18037	avendoli	14	
18038	avvalorare	14	to corroborate, confirm or support
18039	avvegna	14	
18040	azzo	14	a male given name
18041	balnibarbi	14	
18042	banditore	14	auctioneer
18043	baronum	14	
18044	bassora	14	Basra
18045	bastia	14	bastion, Bastia
18046	bastoncello	14	rod
18047	battito	14	beat
18048	battiture	14	
18049	bellerio	14	
18050	beneficj	14	
18051	bernardello	14	
18052	bettola	14	tavern, dive, joint
18053	bevitore	14	drinker
18054	bilingue	14	bilingual
18055	bivio	14	fork
18056	blando	14	soft
18057	boiardo	14	boyar
18058	bomboline	14	
18059	bracteis	14	
18060	brev'ora	14	
18061	brillo	14	tipsy, drunk
18062	brunetto	14	a male given name, a surname originating as a patronymic
18063	busse	14	
18064	c'hai	14	
18065	c'han	14	
18066	ca	14	The name of the Latin script letter K/k
18067	caccie	14	
18068	calvinista	14	Calvinist
18069	camerati	14	
18070	camerone	14	hall
18071	cammino	14	lane, way
18072	campano	14	Campanian
18073	campori	14	
18074	canapè	14	settee, couch, canapé
18075	canebière	14	
18076	cannello	14	tube, stick, pipette
18077	canon	14	
18078	canoro	14	that sings well
18079	cantiniere	14	cellarman, tavern or wine bar keeper
18080	canton	14	Guangzhou, Guangdong, a hamlet in Ontario, Canada
18081	capacitare	14	to persuade, to satisfy, to please, to be capable
18082	capiggi	14	
18083	capigliatura	14	mane
18084	capitaneo	14	
18085	cappellania	14	chaplaincy
18086	cappelletta	14	
18087	carbon	14	
18088	carco	14	
18089	carnificina	14	
18090	carrara	14	a town in Massa Carrara, Tuscany, Italy, famous for its marble quarries, a surname
18091	carriaggi	14	
18092	carrucola	14	pulley
18093	cartoccio	14	paper bag, cornet, powder charge
18094	cartuccia	14	cartridge
18095	cassone	14	caisson
18096	catalogo	14	catalogue
18097	catenam	14	
18098	cattolicità	14	catholicity, Catholics
18099	cavallari	14	
18100	cavo	14	cable
18101	cecco	14	a diminutive of the male given name Francesco
18102	cedola	14	coupon
18103	ceffo	14	an animal's head, an ugly face, mug
18104	cel	14	
18105	cellini	14	a surname
18106	cenobio	14	monastery, cenoby, coenobium, colony
18107	certissima	14	
18108	cesellare	14	to chisel, to craft, to polish
18109	cetaceo	14	cetacean
18110	ceuta	14	Ceuta
18111	ch'aver	14	
18112	chiarissima	14	
18113	chiassoso	14	loud, noisy, gaudy, loud
18114	chiederne	14	
18115	chiudea	14	
18116	ciclo	14	cycle
18117	cinquantaquattro	14	fifty-four
18118	cloe	14	a female given name, equivalent to English Chloe
18119	coccarda	14	rosette, cockade, badge
18120	coerente	14	coherent
18121	coibente	14	insulating
18122	coll'animo	14	
18123	colpabilità	14	guilt
18124	colt	14	
18125	com'oggi	14	
18126	combaciare	14	to fit, to match exactly, to agree, to coincide
18127	combatterli	14	
18128	combatterlo	14	
18129	comechè	14	
18130	comiti	14	
18131	commestibile	14	edible
18132	comparato	14	comparative
18133	compatibile	14	compatible
18134	complessivamente	14	on the whole, as a whole, globally
18135	compromettente	14	compromising
18136	comunicato	14	communiqué
18137	conchiudea	14	
18138	conditione	14	
18139	confortatore	14	comforter
18140	connazionale	14	compatriotic
18141	consumo	14	consumption
18142	contato	14	
18143	contentissimo	14	
18144	conterraneo	14	fellow countryman
18145	contr	14	
18146	contrabandieri	14	
18147	contrazione	14	contraction
18148	contre	14	
18149	copritela	14	
18150	coram	14	
18151	corner	14	corner, difficult situation, market niche in which a company has a monopoly
18152	corps	14	
18153	corridor	14	
18154	corvino	14	raven, jet black
18155	cosacco	14	Cossack
18156	coscienzioso	14	conscientious
18157	costrutte	14	
18158	couclia	14	
18159	creaturina	14	
18160	credean	14	
18161	crederla	14	
18162	credevasi	14	
18163	cullare	14	to rock, to swing with light, gentle movements; to sway, to caress
18164	czar	14	
18165	d'affari	14	
18166	d'affetti	14	
18167	d'alessandro	14	a surname originating as a patronymic
18168	d'ammirazione	14	
18169	d'angoscia	14	
18170	d'anime	14	
18171	d'antica	14	
18172	d'arancio	14	
18173	d'asia	14	
18174	d'atlante	14	
18175	d'avanti	14	
18176	d'i	14	
18177	d'ibn-khaldûn	14	
18178	d'ibn-rescîk	14	
18179	d'oca	14	
18180	d'ohsson	14	
18181	d'uso	14	
18182	dagl	14	
18183	dall'adami	14	
18184	dall'altare	14	
18185	dall'articolo	14	
18186	dall'avere	14	
18187	dall'ira	14	
18188	dall'ordine	14	
18189	dardano	14	Dardanus, a male given name from Ancient Greek, a surname transferred from the given name
18190	decade	14	decade
18191	decebalo	14	
18192	decemviri	14	
18193	deditissimo	14	
18194	degl'individui	14	
18195	deinde	14	
18196	dell'albergo	14	
18197	dell'altrui	14	
18198	dell'america	14	
18199	dell'amicizia	14	
18200	dell'assemblea	14	
18201	dell'atto	14	
18202	dell'edificio	14	
18203	dell'industria	14	
18204	dell'informazione	14	
18205	dell'odio	14	
18206	dell'ora	14	
18207	dell'ospitalità	14	
18208	deperimento	14	wasting away, deterioration
18209	depredazioni	14	
18210	desinenza	14	ending
18211	dialettica	14	dialectics
18212	dibattito	14	debate
18213	dichiararlo	14	
18214	dicitura	14	wording, words, phrase, words
18215	didio	14	
18216	diersi	14	
18217	difendendosi	14	
18218	difficilissima	14	
18219	dignitario	14	dignitary
18220	dileguarsi	14	to disperse, to disappear
18221	diligentia	14	
18222	dimandano	14	
18223	dirottamente	14	bitterly
18224	diruta	14	
18225	disdettare	14	to give notice, to cancel
18226	disfidare	14	to challenge, to distrust, to deem hopeless
18227	disinteresse	14	disinterest, indifference, disinterestedness, unselfishness
18228	disiri	14	
18229	dissanguare	14	to deprive of blood, to bleed white, to suck dry
18230	dissenso	14	dissent
18231	dissodare	14	to till or break up, to initiate, to prepare for study
18232	distantia	14	
18233	distinguersi	14	to distinguish oneself, to be conspicuous, be distinguishable from others
18234	disubbidire	14	to disobey [with a ‘an order, one's parents, etc.’], to disobey
18235	diversificare	14	to differentiate, to vary, to differ, to be different
18236	dominacion	14	
18237	dopò	14	
18238	drieto	14	
18239	droga	14	drug
18240	dupont	14	Dupont
18241	ecclesiae	14	
18242	econ	14	
18243	edmondo	14	a male given name, feminine equivalent Edmonda, equivalent to English Edmund or Edmond
18244	effondere	14	to pour out, to effuse; to shed, to diffuse, to vent
18245	elaborare	14	elaborate
18246	eldorado	14	
18247	elevarsi	14	to rise up; to rise ; to be ennobled
18248	elfo	14	elf
18249	elio	14	helium
18250	ell'è	14	
18251	eloquio	14	speech
18252	enfasi	14	emphasis, stress
18253	enrichetto	14	
18254	entella	14	a river in Liguria
18255	eolie	14	Aeolian Islands
18256	epaminonda	14	Epaminondas, a male given name
18257	epicuro	14	Epicurus
18258	equilibrare	14	balance
18259	erboso	14	grassy, grass
