source_rank	lemma	count_in_source	english_gloss
18001	abbagliante	316	dazzling
18002	abominevole	316	abominable
18003	ascoltalo	316	
18004	cardigan	316	
18005	carnivoro	316	carnivorous
18006	condividerla	316	
18007	conio	316	coining, die or stamp
18008	garak	316	
18009	gesu'	316	
18010	gio	316	a diminutive of the male given names Giovanni, Giorgi, Giorgio, or Sergio, feminine equivalent Gia, a diminutive of the male given name Giuseppe, equivalent to English Joe
18011	giralo	316	
18012	golia	316	Goliath, Goliath beetle
18013	gongolare	316	to be visibly very satisfied or pleased
18014	ichabod	316	
18015	ikea	316	
18016	imo	316	located in the lowest or innermost part, low, deep, of a low social status, inappropriate, vulgar, uncouth
18017	indigestione	316	indigestion
18018	jor-el	316	
18019	mantenersi	316	to stay, to keep, to remain
18020	matheson	316	
18021	mortadella	316	mortadella
18022	oscillare	316	swing
18023	prospettare	316	to present, to show, to face, to overlook, to face, to overlook [with su]
18024	provala	316	
18025	regolatore	316	regulatory
18026	ricontrollato	316	
18027	rosmarino	316	rosemary
18028	salmo	316	psalm
18029	sniffare	316	to sniff, to snort, to blow, to huff
18030	sospiro	316	sigh
18031	templare	316	Templar
18032	teorouge	316	
18033	thank	316	
18034	xi	316	XI
18035	adescamento	315	enticement, soliciting, luring, priming
18036	anch	315	
18037	barbanera	315	Blackbeard
18038	cantarla	315	
18039	canzoncina	315	little song, jingle, ditty
18040	capirne	315	
18041	coccolare	315	to cuddle
18042	disparire	315	to disappear, to vanish
18043	entertainment	315	
18044	fiacca	315	tiredness, laziness, sluggishness
18045	fidanzatina	315	female equivalent of fidanzatino
18046	genoma	315	genome
18047	goditelo	315	
18048	impedirle	315	
18049	incarnazione	315	incarnation
18050	ketamina	315	
18051	mags	315	
18052	migliorera	315	
18053	personalizzato	315	
18054	pinkerton	315	
18055	sbruffone	315	boaster, braggart
18056	sciocchina	315	female equivalent of sciocchino
18057	sentore	315	smack, rumour, talk, inkling, suspicion, tang
18058	stracciare	315	tear
18059	terrance	315	
18060	vee	315	
18061	watt	315	watt
18062	wren	315	
18063	aggrapparsi	314	to cling
18064	amministrativa	314	
18065	aritmia	314	arrhythmia
18066	automobilista	314	motorist
18067	bruttissimo	314	
18068	buttarli	314	
18069	cardiologia	314	cardiology
18070	cibernetico	314	cybernetic
18071	claustrofobico	314	claustrophobic
18072	clero	314	clergy
18073	collocamento	314	employment
18074	commemorativo	314	memorial
18075	complicità	314	complicity
18076	comprera	314	
18077	corps	314	
18078	dissidente	314	dissident
18079	downey	314	
18080	fascismo	314	fascism
18081	forcone	314	pitchfork, fork
18082	fuck	314	
18083	glucosio	314	glucose
18084	impugnatura	314	the way in which an object is held; grip, the act of gripping or wielding, handle, grip, hilt, haft
18085	jase	314	
18086	katz	314	
18087	latitudine	314	latitude
18088	mikael	314	
18089	restituirmi	314	
18090	rintracciarli	314	
18091	rude	314	crude
18092	siviglia	314	Seville
18093	soon	314	
18094	spigui	314	
18095	stagisti	314	
18096	succulento	314	succulent
18097	tintinnio	314	tinkle
18098	tintura	314	dyeing, dye
18099	troi	314	
18100	affluenza	313	influx
18101	aspergere	313	dampen
18102	avvisami	313	
18103	chiudera	313	
18104	contarli	313	
18105	copenaghen	313	Copenhagen
18106	couwenberg	313	
18107	dissotterrare	313	to disinter, exhume, to dig up, unearth, to resurrect
18108	feldman	313	
18109	foods	313	
18110	fuoriuscire	313	to leak, come out, pour, escape, or spill
18111	gaines	313	
18112	gregson	313	
18113	human	313	
18114	istintivo	313	instinctive, impulsive, irrational
18115	kelvin	313	
18116	kimball	313	
18117	led	313	LED
18118	nigeria	313	Nigeria
18119	pepsi	313	digestion
18120	pil	313	GDP
18121	pollastra	313	pullet, a young hen, chick
18122	processione	313	procession
18123	proclamare	313	proclaim
18124	prosperare	313	prosper
18125	pulpito	313	pulpit
18126	rendervi	313	
18127	rimuoverlo	313	
18128	rispettarlo	313	
18129	seggiolino	313	car seat for children, folding chair
18130	simpaticone	313	pleasant
18131	tres	313	
18132	whit	313	
18133	ammazzalo	312	
18134	attene'	312	
18135	boat	312	
18136	condor	312	condor
18137	dilaurentis	312	
18138	divorzista	312	divorce
18139	ferraglia	312	scrap iron
18140	fondoschiena	312	backside, seat
