source_rank	lemma	count_in_source	english_gloss
18001	marcella	1317	
18002	meteorologia	1317	meteorology
18003	montfort	1317	
18004	mos	1317	
18005	moschetto	1317	musket
18006	sperimentato	1317	experienced, proven, skilled, proven, tried, experimental
18007	aln	1316	
18008	artificialmente	1316	artificially
18009	asciugare	1316	to dry
18010	burning	1316	
18011	decentrare	1316	to decentralize, to devolve
18012	entourage	1316	entourage, retinue
18013	garbare	1316	to like, to suit, to mould/mold gracefully, to design or trace the curvature of the hull of
18014	gideon	1316	
18015	odeon	1316	odeon
18016	ortega	1316	
18017	pattugliare	1316	to patrol
18018	pignatelli	1316	a surname
18019	rb	1316	
18020	riflessivo	1316	reflective, thoughtful, reflexive
18021	rotatorio	1316	rotatory
18022	sandwich	1316	sandwich
18023	sospettoso	1316	suspicious
18024	tamburino	1316	drummer, a small medieval drum
18025	aliquota	1315	rate
18026	buster	1315	
18027	convivente	1315	cohabitant
18028	escursionista	1315	tripper, day tripper, hiker, walker, backpacker
18029	extended	1315	
18030	idealismo	1315	idealism
18031	lovecraft	1315	
18032	luigia	1315	
18033	neutrino	1315	neutrino
18034	playing	1315	
18035	raffreddato	1315	
18036	rossella	1315	
18037	allattamento	1314	breastfeeding, breast feeding, nursing, suckling
18038	bagnoli	1314	a coastal district of Naples
18039	cricca	1314	clique, a group of friends
18040	cyril	1314	
18041	dischetto	1314	diskette
18042	quaresima	1314	Lent
18043	ridimensionamento	1314	reduction, downsizing, reorganization
18044	unanimemente	1314	unanimously
18045	anzitutto	1313	first, firstly, foremost, first of all, first off
18046	atanasio	1313	a male given name
18047	cadorna	1313	a surname
18048	concilio	1313	council, conference, meeting
18049	kaunas	1313	
18050	ludico	1313	recreational
18051	martinelli	1313	a surname
18052	mormone	1313	Mormon
18053	rage	1313	
18054	shepherd	1313	
18055	supersonico	1313	supersonic
18056	teseo	1313	Theseus
18057	wien	1313	
18058	carly	1312	
18059	comparazione	1312	comparison
18060	disciplinato	1312	disciplined
18061	dungeons	1312	
18062	karin	1312	
18063	nasl	1312	
18064	statuario	1312	statuesque
18065	antenata	1311	female equivalent of antenato, vintage car
18066	collage	1311	collage
18067	dem	1311	
18068	deroga	1311	derogation
18069	gervasio	1311	a male given name, equivalent to English Gervase
18070	mileto	1311	
18071	sipario	1311	curtain
18072	tirocinio	1311	training
18073	contribuente	1310	taxpayer
18074	garfagnana	1310	a historic region of central Italy within the modern province of Lucca in Tuscany
18075	ponendosi	1310	
18076	scarlet	1310	
18077	alternarsi	1309	to alternate, take turns
18078	asterix	1309	
18079	burrone	1309	gully
18080	coniugazione	1309	conjugation
18081	feeling	1309	an intense and immediate current of likability that is established between two people; feeling
18082	lennox	1309	
18083	northumberland	1309	
18084	silverstone	1309	
18085	simple	1309	
18086	terzogenito	1309	third-born
18087	tyrrell	1309	
18088	brent	1308	
18089	menù	1308	
18090	schiller	1308	
18091	soda	1308	parts of certain plants high in mineral salts the ashes in particular of which were used in glassmaking, soda, sodium carbonate, soda water
18092	troncone	1308	stump
18093	dimitri	1307	a male given name, a surname
18094	divino	1307	divine
18095	estradizione	1307	extradition
18096	scaldare	1307	to warm up, to galvanize; to energize; to fire up, to excite sexually; to turn on, to be or get too hot, to heat up
18097	stordire	1307	to stun, to daze, to be stunned, to be dazed
18098	ventitreesimo	1307	twenty-third
18099	binomio	1306	binomial
18100	cluny	1306	
18101	deal	1306	
18102	feedback	1306	feedback
18103	nk	1306	
18104	observatory	1306	
18105	piercing	1306	piercing
18106	ridefinire	1306	redefine
18107	scatenato	1306	wild, unchained, loose
18108	sensitivo	1306	sensory, sensitive, susceptible
18109	sottostare	1306	to submit, to give in, to undergo, to be below
18110	vigilante	1306	vigilant, watchful, alert
18111	warhol	1306	Warhol
18112	baleari	1305	Balearic Islands
18113	divertirsi	1305	to enjoy oneself, to have fun, to have a good time
18114	foscari	1305	a surname
18115	geremia	1305	Jeremiah, the Book of Jeremiah, a male given name from Hebrew
18116	inspiegabile	1305	inexplicable, unaccountable, unexplainable
18117	medicea	1305	
18118	montale	1305	a community in Pistoia, Tuscany
18119	petrucci	1305	a surname
18120	vipera	1305	viper
18121	dub	1304	
18122	estendersi	1304	to spread, to expand, to increase
18123	geometra	1304	surveyor, chartered surveyor, geometer
18124	horizon	1304	
18125	inciampare	1304	trip
18126	incipit	1304	
18127	lb	1304	
18128	loredana	1304	
18129	madrigale	1304	madrigal
18130	nient	1304	
18131	ornella	1304	
18132	programmatico	1304	programmatic
18133	rocambolesco	1304	fantastic, incredible
18134	semaforo	1304	semaphore
18135	sensibilizzare	1304	sensitise
18136	sgradevole	1304	unpleasant
18137	sottoclasse	1304	subclass
18138	valona	1304	Vlorë
18139	xinjiang	1304	
18140	cin	1303	
18141	fw	1303	
18142	idrossido	1303	hydroxyde
18143	patton	1303	
18144	reina	1303	knotweed, smartweed, carboxyl acid, queen
18145	riconsegnare	1303	to reconsign, redeliver, to give back, return
18146	riot	1303	
18147	saturazione	1303	saturation
18148	trading	1303	
18149	trimestrale	1303	quarterly
18150	ventiquattresimo	1303	twenty-fourth
18151	autoproclamare	1302	
18152	comminare	1302	impose
18153	discontinuità	1302	discontinuity
18154	sessions	1302	
18155	torbido	1302	muddy
18156	acciaieria	1301	steelworks
18157	deutsches	1301	
18158	finalissima	1301	final, grand final
18159	morandini	1301	a surname
18160	nan	1301	
18161	orafo	1301	goldsmith
18162	pri	1301	
18163	reattività	1301	reactivity
18164	ton	1301	
18165	bloch	1300	
18166	bollire	1300	to boil
18167	incurabile	1300	incurable
18168	ristrettezza	1300	shortage, lack, poverty
18169	saggista	1300	essayist
18170	superfluo	1300	superfluous, redundant, surplus, unnecessary, needless
18171	teo	1300	
18172	gualtiero	1299	a male given name, equivalent to English Walter
18173	liberalizzazione	1299	liberalisation
18174	pirotecnico	1299	pyrotechnic
18175	rudolph	1299	
18176	veracruz	1299	
18177	bici	1298	bicycle, bike, wheel, cycle
18178	disapprovare	1298	disapprove
18179	etienne	1298	
18180	robbins	1298	
18181	sovraccarico	1298	excess load, overload, overcharge, surcharge
18182	bozzolo	1297	cocoon
18183	cabrera	1297	Cabrera
18184	fondersi	1297	to melt, fuse, to merge, combine, fuse, amalgamate, unite, to blend in
18185	pungente	1297	prickly, biting, pungent
18186	trapezoidale	1297	trapezoidal
18187	artigliere	1296	artilleryman
18188	brivido	1296	shiver
18189	catalina	1296	Catalina
18190	depressivo	1296	depressive
18191	estenuante	1296	wearing, tiring, gruelling, backbreaking
18192	ferimento	1296	wounding
18193	levatoio	1296	rising
18194	lizzie	1296	
18195	neoclassicismo	1296	neoclassicism
18196	professionalità	1296	professionalism, skill, expertise
18197	saddam	1296	a transliteration of the Arabic male given name صَدَّام
18198	sergei	1296	
18199	svagare	1296	to amuse, to distract
18200	erudito	1295	scholarly
18201	galletto	1295	cockerel, cocky young man, wing nut, chanterelle, golden chanterelle, girolle
18202	imbrogliare	1295	to tangle, entangle, muddle, confuse, to cheat, trick, dupe, diddle, overreach, rip off, to sell someone a pup
18203	posizionandosi	1295	
18204	read	1295	
18205	revisore	1295	revisor, auditor
18206	timo	1295	thyme
18207	bollente	1294	boiling, hot
18208	comicità	1294	comicality
18209	dangerous	1294	
18210	delia	1294	
18211	ester	1294	a female given name from Hebrew, equivalent to English Esther, Esther, the book of Esther
18212	fumo	1294	smoke
18213	giovannino	1294	
18214	goffo	1294	clumsy
18215	infiltrarsi	1294	to infiltrate oneself an organization, etc, to penetrate, to seep
18216	osservante	1294	practising
18217	porco	1294	terrible, dirty, bad
18218	scopa	1294	broom, besom, a Neapolitan card game, briar, tree heath
18219	spilla	1294	pin, safety pin
18220	tornio	1294	lathe
18221	trasportatore	1294	transporter
18222	abbondare	1293	abound
18223	blindare	1293	armour
18224	enemy	1293	
18225	etiopico	1293	ethiopian
18226	eurolega	1293	
18227	héctor	1293	Héctor
18228	jupiter	1293	
18229	raffinatezza	1293	refinement, elegance, pleasure, delicacy
18230	terz	1293	
18231	burn	1292	
18232	corey	1292	
18233	dux	1292	
18234	feature	1292	
18235	menare	1292	to hit, beat, to take, lead, to drive, to move forcibly; to drag, hurtle, to bring, to produce, beget
18236	mesa	1292	
18237	pancreas	1292	pancreas
18238	robustezza	1292	robustness
18239	sceneggiatrice	1292	female equivalent of sceneggiatore
18240	alvarez	1291	Alvarez
18241	celeberrimo	1291	
18242	help	1291	
18243	kalem	1291	
18244	rozzo	1291	uncouth, coarse, impolite, rough
18245	truk	1291	
18246	villino	1291	detached house, house, cottage
18247	carota	1290	carrot
18248	carrera	1290	
18249	ciclope	1290	cyclops
18250	duff	1290	
18251	ereditiera	1290	heiress
18252	fidato	1290	trusted; trustworthy
18253	lavagna	1290	blackboard
18254	nominalmente	1290	nominally
18255	oligocene	1290	Oligocene
18256	pegasus	1290	
18257	rifinitura	1290	finishing
18258	rivelarsi	1290	to reveal oneself, show oneself, turn out to be, prove, to get off one's chest
18259	tears	1290	
18260	tobago	1290	
18261	ussaro	1290	hussar
18262	amd	1289	
18263	artisticamente	1289	artistically
18264	chao	1289	
18265	gianna	1289	a female given name, synonym of airone cenerino, cold winter wind
18266	parkinson	1289	
18267	plant	1289	
18268	poltrona	1289	armchair
18269	scialuppa	1289	sloop, lifeboat, tender
18270	termodinamica	1289	thermodynamics
18271	improprio	1288	improper
18272	incanalare	1288	to canalize , to put in a canal, to direct, to channel
18273	lesnar	1288	
18274	linus	1288	
18275	madrelingua	1288	mother tongue, native speaker
18276	mandorle	1288	
18277	montenegrino	1288	Montenegrin
18278	stoke	1288	
18279	weaver	1288	
18280	abbas	1287	
18281	caio	1287	a male given name
18282	dolcezza	1287	sweetness, mildness, gentleness, softness, smoothness, sweetheart
18283	assiduamente	1286	assiduously
18284	beccaria	1286	a surname from Lombard or Piedmontese, Cesare Beccaria, 18th-century Italian criminologist and philosopher
18285	bora	1286	bora
18286	britten	1286	
18287	cumulare	1286	to accumulate, to put together, to add together
18288	epitelio	1286	epithelium
18289	improntare	1286	to imprint, impress, to prepare, get ready, to lend
18290	lac	1286	
18291	sheila	1286	
18292	sociedad	1286	
18293	stoccare	1286	to stock, to strike or thrust with a tuck or rapier, to borrow illegally
18294	tunes	1286	
18295	uretra	1286	urethra
18296	ziggler	1286	
18297	dop	1285	
18298	ligabue	1285	a surname
18299	privazione	1285	deprivation
18300	pubblicista	1285	publicist
18301	reutemann	1285	
18302	castità	1284	chastity
18303	concretamente	1284	specifically
18304	cultural	1284	
18305	ethel	1284	
18306	learning	1284	
18307	mediato	1284	indirect, mediated
18308	pinza	1284	clip
18309	sciogliersi	1284	to melt, to dissolve, to thaw
18310	serafino	1284	seraph, a male given name
18311	valeriano	1284	Valerian, Valerianus
18312	willow	1284	
18313	arnaud	1283	
18314	bosniaca	1283	female equivalent of bosniaco
18315	eurasia	1283	
18316	fuggiasco	1283	fugitive, deserter
18317	graal	1283	
18318	incolumità	1283	safety
18319	monfalcone	1283	a town in the province of Gorizia, Friuli-Venezia Giulia, Italy, a surname transferred from the place name
18320	peccatore	1283	sinner
18321	pigmento	1283	pigment
18322	ritoccare	1283	retouch
18323	sinuoso	1283	sinuous, winding
18324	tristemente	1283	sadly
18325	bloody	1282	
18326	causale	1282	causal
18327	compostela	1282	
18328	hindi	1282	Hindi
18329	incubazione	1282	incubation
18330	lower	1282	
18331	merli	1282	a surname
18332	misticismo	1282	mysticism
18333	mustang	1282	
18334	personalizzato	1282	
18335	relegato	1282	
18336	spitfire	1282	
18337	takeda	1282	
18338	writers	1282	
18339	abdullah	1281	
18340	commercial	1281	
18341	facendoli	1281	
18342	guardiamarina	1281	second lieutenant in the Italian navy, ensign
18343	hahn	1281	
18344	imbarcarsi	1281	to board, to embark, to sail
18345	infrazione	1281	infringement
18346	nazareth	1281	a surname
18347	ovvia	1281	
18348	pilato	1281	Pilate
18349	rammaricare	1281	to embitter, to grieve
18350	rimedio	1281	remedy
18351	superettan	1281	
18352	wilkinson	1281	
18353	britain	1280	
18354	dorset	1280	
18355	fogliame	1280	foliage
18356	fratellino	1280	younger brother
18357	trovarla	1280	
18358	chu	1279	
18359	formella	1279	tile
18360	northumbria	1279	
18361	patrese	1279	
18362	soccorritore	1279	rescuer
18363	tam	1279	
18364	vaudeville	1279	
18365	colonizzatore	1278	colonizer
18366	fry	1278	
18367	getto	1278	throwing, throw, cast, jet, shoot, casting, blast
18368	lonely	1278	
18369	papero	1278	gosling, duckling, gander or drake
18370	produttrice	1278	female equivalent of produttore, producer
18371	provocatorio	1278	provocative, confrontational
18372	quand	1278	
18373	tabù	1278	taboo
18374	cynthia	1277	
18375	melinda	1277	
18376	militum	1277	
18377	nazionalizzazione	1277	nationalisation
18378	ripetersi	1277	to repeat oneself, to recur
18379	standardizzazione	1277	standardisation
18380	artemisia	1276	artemisia
18381	camden	1276	
18382	colei	1276	she, her
18383	curativo	1276	curative, healing
18384	fifth	1276	
18385	grafi	1276	
18386	hash	1276	
18387	inconfondibile	1276	unmistakable, unique
18388	pulsare	1276	press
18389	ax	1275	
18390	cardona	1275	
18391	drug	1275	
18392	gelato	1275	ice cream
18393	grosjean	1275	
18394	impegnandosi	1275	
18395	imperialismo	1275	imperialism
