source_rank	lemma	count_in_source	english_gloss
18001	generatori	3020	
18002	geo	3020	
18003	giardinaggio	3020	gardening
18004	gina	3020	a diminutive of the female given names Gia or Luigina, feminine equivalent Gino
18005	giustiziato	3020	
18006	gorilla	3020	gorilla
18007	gruppetto	3020	gruppetto
18008	guasti	3020	
18009	gustare	3020	to savour, to enjoy
18010	handicap	3020	handicap
18011	holly	3020	
18012	ideologiche	3020	
18013	idoneità	3020	fitness, suitability, qualification
18014	includendo	3020	
18015	incomincia	3020	
18016	influisce	3020	
18017	ingaggiato	3020	
18018	ingaggio	3020	the taking on or engaging of someone for a role, the signing of a sportsman for a team; the fee paid, bounty
18019	intenzionalmente	3020	intentionally
18020	intercettare	3020	intercept
18021	interessarsi	3020	to be interested in, take an interest in, to take care of, see to, go into, take up, to care about, mind, look after
18022	invoca	3020	
18023	ipotetico	3020	hypothetical
18024	irritante	3020	irritating
18025	isbn	3020	
18026	iscritte	3020	
18027	ivrea	3020	a town in Torino, Piedmont
18028	laptop	3020	laptop
18029	laziale	3020	of, from or relating to Lazio, of the S.S. Lazio, the Italian football/soccer team based in Rome
18030	libre	3020	
18031	litigi	3020	
18032	luminosi	3020	
18033	macellaio	3020	butcher
18034	maghi	3020	
18035	maiuscola	3020	capital letter
18036	mango	3020	mango
18037	marilyn	3020	
18038	mattine	3020	mornings
18039	maurice	3020	
18040	mediocri	3020	
18041	mena	3020	plot, conspiracy
18042	metodologie	3020	
18043	minorile	3020	juvenile
18044	modica	3020	a town in the province of Ragusa, Sicily, Italy, a surname transferred from the place name
18045	mollo	3020	wet, damp, saturated, soaked
18046	mono	3020	single, mono
18047	montalbano	3020	a surname, a red wine from the area of Florence and Pistoia in Tuscany
18048	nation	3020	
18049	networking	3020	
18050	numerico	3020	numerical
18051	numeroso	3020	numerous, many
18052	obbedire	3020	obey
18053	obbligatoriamente	3020	mandatorily
18054	occuperà	3020	
18055	oceani	3020	
18056	offensive	3020	
18057	oltraggio	3020	outrage
18058	oltranza	3020	extremity, excess, exaggeration
18059	osare	3020	dare
18060	osservate	3020	
18061	pagliaccio	3020	clown
18062	palato	3020	palate
18063	pallacanestro	3020	basketball
18064	panca	3020	bench, pew, the part of a stirrup on which a rider puts their foot
18065	pappagallo	3020	parrot
18066	paraguay	3020	Paraguay
18067	parentela	3020	kinship
18068	parlarmi	3020	
18069	passaporti	3020	
18070	patch	3020	
18071	patriarcato	3020	patriarchy
18072	pedagogia	3020	pedagogy
18073	pensasse	3020	
18074	penserà	3020	
18075	pera	3020	pear
18076	perderti	3020	
18077	perquisizione	3020	search, investigation
18078	persia	3020	Persia
18079	piango	3020	
18080	piantato	3020	planted
18081	pokemon	3020	
18082	poniamo	3020	
18083	poterne	3020	
18084	prefisso	3020	prefix
18085	preposto	3020	preferred
18086	presidi	3020	
18087	privatizzazione	3020	privatisation
18088	proteggono	3020	
18089	quadrata	3020	
18090	quant'altro	3020	
18091	rallentamento	3020	slowing down, slackening
18092	rampa	3020	flight, ramp, launchpad
18093	ranch	3020	ranch
18094	rapire	3020	kidnap
18095	razziste	3020	
18096	rc	3020	
18097	rea	3020	Rhea, a moon of Saturn
18098	read	3020	
18099	rep	3020	
18100	restava	3020	
18101	restrizione	3020	restriction
18102	riavere	3020	to have again, to get back, to recover, to regain
18103	ricade	3020	
18104	riconquistare	3020	to reconquer, to win back
18105	riflettuto	3020	reflected
18106	rigenerazione	3020	regeneration
18107	rigorosa	3020	
18108	rimaniamo	3020	
18109	rimpianti	3020	
18110	rinascimentale	3020	Renaissance
18111	rione	3020	quarter; urban neighborhood
18112	ristampa	3020	reprint
18113	risultante	3020	resultant
18114	ritornello	3020	refrain, chorus, burden, riff, same old story, refrain
18115	riuniscono	3020	
18116	rompi	3020	
18117	rover	3020	
18118	ruiz	3020	Ruiz
18119	salvano	3020	
18120	salviamo	3020	
18121	salì	3020	
18122	sbocco	3020	mouth
18123	scanner	3020	scan, scanner
18124	scontrino	3020	receipt, ticket, slip, voucher
18125	seduzione	3020	seduction
18126	sembianze	3020	
18127	senatrice	3020	female equivalent of senatore
18128	sinistri	3020	
18129	sl	3020	
18130	snob	3020	snob
18131	soppresso	3020	
18132	sorellina	3020	smaller or younger sister
18133	sottomarino	3020	submarine
18134	sparta	3020	
18135	staranno	3020	
18136	strike	3020	strike
18137	tartarughe	3020	
18138	tax	3020	
18139	togliamo	3020	
18140	togliermi	3020	
18141	tossica	3020	
18142	trasporta	3020	
18143	travi	3020	
18144	trevor	3020	
18145	tuffo	3020	dive, plunge, diving
18146	ultras	3020	fanatical sports supporter
18147	umanitaria	3020	
18148	umida	3020	
18149	uranio	3020	uranium
18150	valor	3020	
18151	valutata	3020	
18152	ventidue	3020	twenty-two
18153	verginità	3020	virginity
18154	visivi	3020	
18155	vizioso	3020	depraved, vicious, defective, faulty
18156	votati	3020	
18157	were	3020	
18158	wilde	3020	Wilde
18159	woody	3020	
18160	yi	3020	
18161	yuri	3020	a male given name from Russian
18162	2a	2950	
18163	acc	2950	
18164	accessibilità	2950	accessibility
18165	accorsi	2950	a surname
18166	accumulare	2950	accumulate
18167	accuratezza	2950	accuracy
18168	affezionato	2950	fond of, attached to, affectionate, regular
18169	affido	2950	synonym of affidamento ”)
18170	affronto	2950	affront, insult, snub
18171	aggiungerei	2950	
18172	aggiungete	2950	
18173	alain	2950	
18174	alghero	2950	Alghero
18175	all'aiuto	2950	
18176	allungare	2950	elongate
18177	also	2950	
18178	ambedue	2950	both
18179	ambrogio	2950	a male given name from Ancient Greek, equivalent to English Ambrose
18180	americhe	2950	
18181	amministrare	2950	administer
18182	ano	2950	anus
18183	anticipa	2950	
18184	apologia	2950	apologia
18185	appariva	2950	
18186	appeal	2950	appeal, sex appeal
18187	ardente	2950	ardent
18188	ariete	2950	Aries, ram, battering ram
18189	artist	2950	
18190	ascoltati	2950	
18191	atlante	2950	atlas
18192	attesi	2950	
18193	attrae	2950	
18194	australiani	2950	
18195	avvolta	2950	
18196	ballerine	2950	
18197	battezzato	2950	
18198	because	2950	
18199	beccati	2950	
18200	been	2950	
18201	beethoven	2950	Beethoven
18202	benefica	2950	
18203	berti	2950	
18204	bingo	2950	bingo
18205	boni	2950	
18206	borbone	2950	Borbone
18207	breccia	2950	breach, break, gap, breakthrough, road metal, breccia
18208	cagnolino	2950	puppy
18209	cammini	2950	
18210	carreggiata	2950	carriageway
18211	casalingo	2950	home, homely, house, homemade
18212	castelnuovo	2950	a surname
18213	cenerentola	2950	Cinderella, a girl who is mistreated and made to perform humble tasks; a Cinderella, the last or most neglected member of a group, a ballet shoe
18214	centra	2950	
18215	cercheremo	2950	
18216	chiamerà	2950	
18217	chiederò	2950	
18218	cinquantina	2950	approximately fifty; fifty-odd
18219	cinquemila	2950	five thousand
18220	colera	2950	cholera
18221	comprarlo	2950	
18222	compressa	2950	compress, tablet, pill
18223	comunitarie	2950	
18224	conca	2950	basin
18225	concernenti	2950	
18226	conciliare	2950	conciliate
18227	conoscerla	2950	
18228	consacrato	2950	
18229	consumano	2950	
18230	content	2950	
18231	contiamo	2950	
18232	corone	2950	Korone
18233	corporea	2950	
18234	corvo	2950	crow
18235	cowboy	2950	
18236	cronico	2950	chronic
18237	csi	2950	
