rank	token	lemma_guess	count	cum_count	cum_pct_missing	cum_pct_corpus	category	english_gloss
1	perche	perche	489341	489341	3.4962	0.2026	tokeniser_fixable	
2	piu	piu	394239	883580	6.3130	0.3658	tokeniser_fixable	
3	cosi	cosi	369960	1253540	8.9563	0.5189	tokeniser_fixable	
4	tanto	tangere	158527	1412067	10.0889	0.5845	phantom_upstream_lemma	to touch, to touch emotionally, to elicit an emotional response in
5	farlo	farlo	150609	1562676	11.1650	0.6469	tokeniser_fixable	
6	e'	e'	77610	1640286	11.7195	0.6790	residual	
7	nessun	nessun	74557	1714843	12.2522	0.7099	residual	
8	perchè	perchè	71521	1786364	12.7632	0.7395	residual	
9	nessuna	nessun	57823	1844187	13.1764	0.7634	residual	
10	farti	farti	52593	1896780	13.5521	0.7852	tokeniser_fixable	
11	farmi	farmi	48776	1945556	13.9006	0.8054	tokeniser_fixable	
12	dammi	dammi	41718	1987274	14.1987	0.8226	residual	
13	fammi	fammi	40278	2027552	14.4865	0.8393	residual	
14	smettila	smettila	39023	2066575	14.7653	0.8555	residual	
15	dirmi	dirmi	36757	2103332	15.0279	0.8707	tokeniser_fixable	
16	dirlo	dirlo	35840	2139172	15.2840	0.8855	tokeniser_fixable	
17	vuol	vuol	34483	2173655	15.5303	0.8998	residual	
18	verita	verita	33992	2207647	15.7732	0.9139	tokeniser_fixable	
19	saperlo	saperlo	33097	2240744	16.0097	0.9276	tokeniser_fixable	
20	preoccuparti	preoccuparti	32145	2272889	16.2393	0.9409	tokeniser_fixable	
21	é	é	31392	2304281	16.4636	0.9539	residual	
22	dev'	dev'	31186	2335467	16.6864	0.9668	residual	
23	dirti	dirti	31022	2366489	16.9081	0.9796	tokeniser_fixable	
24	finche	finche	30933	2397422	17.1291	0.9924	tokeniser_fixable	
25	piu'	piu'	29996	2427418	17.3434	1.0049	residual	
26	i'	i'	29982	2457400	17.5576	1.0173	residual	
27	scusami	scusami	29718	2487118	17.7700	1.0296	tokeniser_fixable	
28	perche'	perche'	27909	2515027	17.9694	1.0411	residual	
29	vederti	vederti	27318	2542345	18.1646	1.0524	tokeniser_fixable	
30	charlie	charlie	26128	2568473	18.3512	1.0632	proper_noun	
31	lasciami	lasciami	26113	2594586	18.5378	1.0741	tokeniser_fixable	
32	mike	mike	25758	2620344	18.7218	1.0847	proper_noun	
33	vattene	vattene	23618	2643962	18.8906	1.0945	residual	shoo!, clear off!, go away!, flip off!
34	esserci	esserci	23436	2667398	19.0580	1.1042	tokeniser_fixable	to be at a place, to be there; there be, it to be, to take place; to occur, to exist or take place [with tra ‘between two people’]
35	george	george	22935	2690333	19.2219	1.1137	proper_noun	George
36	andra	andra	21809	2712142	19.3777	1.1227	proper_noun	
37	averlo	averlo	21473	2733615	19.5311	1.1316	tokeniser_fixable	
38	henry	henry	20777	2754392	19.6796	1.1402	proper_noun	
39	aiutarti	aiutarti	20443	2774835	19.8256	1.1487	tokeniser_fixable	
40	america	america	20120	2794955	19.9694	1.1570	proper_noun	America
41	jane	jane	20009	2814964	20.1124	1.1653	proper_noun	
42	possibilita	possibilita	20002	2834966	20.2553	1.1736	tokeniser_fixable	
43	fbi	fbi	19975	2854941	20.3980	1.1818	numerals_acronyms	FBI
44	ascoltami	ascoltami	19755	2874696	20.5391	1.1900	tokeniser_fixable	
45	bellissima	bellissima	19570	2894266	20.6790	1.1981	residual	
46	siediti	siediti	19109	2913375	20.8155	1.2060	residual	
47	parlarne	parlarne	19046	2932421	20.9516	1.2139	tokeniser_fixable	
48	danny	danny	18788	2951209	21.0858	1.2217	proper_noun	
49	alcun	alcun	18629	2969838	21.2189	1.2294	residual	some
50	percio	percio	18522	2988360	21.3512	1.2371	tokeniser_fixable	
51	farla	farla	18179	3006539	21.4811	1.2446	tokeniser_fixable	to make a fool of, to defecate, Used other than figuratively or idiomatically: compound of the infinitive fare with la
52	farsi	farsi	17721	3024260	21.6077	1.2519	tokeniser_fixable	to become, to make oneself, to elaborate on in one's mind
53	averti	averti	17557	3041817	21.7332	1.2592	tokeniser_fixable	
54	jake	jake	17148	3058965	21.8557	1.2663	proper_noun	
55	vederlo	vederlo	16874	3075839	21.9763	1.2733	tokeniser_fixable	
56	jimmy	jimmy	16613	3092452	22.0950	1.2801	proper_noun	
57	parlarti	parlarti	16610	3109062	22.2136	1.2870	tokeniser_fixable	
58	gliel'	gliel'	16490	3125552	22.3315	1.2939	residual	
59	aiutarmi	aiutarmi	16354	3141906	22.4483	1.3006	tokeniser_fixable	
