rank,word,avg_rank,sources_count,rank_hermitdave,rank_orgtre,rank_wordfreq,count_hermitdave,count_orgtre,freq_wordfreq,rank_lip,count_lip,rank_news,count_news,rank_literature,count_literature,rank_wikipedia,count_wikipedia
1,e,1.33,3,1,1,2,7389373,15052222,0.0288,2,1371744,2,60147,2,187604,2,13398967
2,che,3.00,3,3,3,3,6063914,14544131,0.0229,3,1282414,5,44706,3,133729,9,6109810
3,di,3.00,3,4,4,1,5880995,14032328,0.0389,1,2077411,1,101297,1,196471,1,21290277
4,non,4.00,3,2,2,8,6257811,14754242,0.0145,12,530291,16,20906,8,71759,27,1849594
5,la,5.00,3,5,5,5,3887197,9133369,0.02,4,1195616,3,53245,5,102847,4,11348740
6,il,5.33,3,6,6,4,3726599,8720342,0.0209,6,962838,4,48164,4,108886,3,12359572
7,a,7.33,3,8,8,6,3451723,8246692,0.0162,8,724362,7,35202,6,95827,6,7793833
8,un,7.67,3,7,7,9,3555300,8326922,0.0145,10,562902,8,35132,11,51647,8,6235367
9,per,9.33,3,9,9,10,2866558,6844400,0.0141,7,816120,10,32311,9,57317,12,5279073
10,in,9.67,3,11,11,7,2156931,5091808,0.0162,5,966882,6,40296,7,82936,5,8539785
11,è,10.33,3,10,10,11,2559257,5726067,0.0126,9,577482,12,28860,20,29398,10,5836489
12,una,12.67,3,12,12,14,2153925,5077646,0.00871,16,423189,15,22150,18,32404,17,4027175
13,sono,16.00,3,14,14,20,2005178,4689137,0.00631,21,266301,21,13285,54,9461,34,1558604
14,si,16.67,3,17,17,16,1772472,4044098,0.00759,18,338096,23,12849,10,52791,19,3602248
15,mi,18.33,3,13,13,29,2013071,4730554,0.0038,68,85231,960,320,39,12732,1657,31740
16,ha,19.67,3,18,18,23,1662783,4005029,0.0049,26,215725,25,11870,85,6738,29,1833788
17,ma,19.67,3,19,19,21,1650248,3963598,0.00537,37,154302,31,10352,22,28199,47,1115931
18,con,20.33,3,22,22,17,1440540,3372011,0.00741,19,285595,27,11607,17,33475,15,4379897
19,le,21.00,3,24,24,15,1425870,3340190,0.00794,15,470426,13,27580,14,50136,20,3408004
20,ho,22.67,3,15,16,37,1823350,4302294,0.00282,89,63468,576,554,145,4099,2474,21413
21,i,23.00,3,28,28,13,1281797,2981139,0.00871,14,480300,9,33220,13,50624,16,4097999
22,lo,24.00,3,20,20,32,1507340,3525772,0.00331,64,94488,53,4372,32,17385,43,1133301
23,da,24.33,3,27,27,19,1309931,3119069,0.00692,27,215123,24,12266,16,36193,18,3794516
24,se,26.33,3,26,26,27,1328637,3172842,0.00407,41,130636,38,6594,28,19540,101,415156
25,come,27.33,3,29,29,24,1248657,2918911,0.00468,33,178282,30,10524,25,21589,25,2041084
26,del,29.00,3,37,38,12,886758,2097273,0.00977,11,561683,11,28965,12,51428,7,7161332
27,ti,32.00,3,25,25,46,1405833,3323601,0.00204,11208,221,6600,27,229,2560,3815,13550
28,cosa,32.33,3,21,21,55,1462858,3445478,0.00158,231,27201,237,1205,120,4713,685,68343
29,ci,33.33,3,31,31,38,1131202,2688071,0.00263,61,96564,100,2430,90,6154,321,142070
30,questo,34.33,3,33,34,36,1011634,2329928,0.00288,24,230265,43,5898,37,13017,62,648483
31,al,34.67,3,41,41,22,745025,1764255,0.00513,22,265992,26,11726,19,29409,21,3402079
32,io,35.33,3,30,32,44,1147459,2644009,0.00209,317,19903,1227,244,44,11610,2096,25328
33,della,37.67,3,47,48,18,630649,1491442,0.00724,13,518752,17,20333,15,36216,11,5495207
34,solo,40.33,3,39,40,42,791998,1879095,0.00214,90,63374,56,4078,118,4903,84,473330
