rank,lemma,pos,avg_rank,sources_count,rank_itwac,rank_opensubs,rank_wordfreq,count_itwac,count_opensubs,freq_wordfreq,gender,auxiliary,adj_class,nvdb_tier,notes,rank_lip,count_lip,rank_news,count_news,rank_literature,count_literature,rank_wikipedia,count_wikipedia
1,il,article,1.0,2,,1,1,,14199426,0.0641,na,,,FO,,1,3478495,1,179537,1,358088,1,33833180
2,il,pronoun,1.0,2,,1,1,,0,0,na,,,FO,,1,0,1,0,1,0,1,0
3,essere,verb,2.33,3,1,2,4,9390532,8320110,0.028779569,na,essere,,FO,,4,1383202,4,62884,6,93403,4,12209328
4,e,conjunction,3.0,2,,3,3,,7592388,0.0305,na,,,FO,,3,1442708,3,64901,2,209196,3,14482295
5,di,preposition,4.5,2,,7,2,,6193987,0.0389,na,,,FO,,2,2086072,2,101299,3,196621,2,21290277
6,uno,article,5.0,2,,5,5,,6426319,0.024546600000000002,na,,,FO,,7,1045980,5,59530,7,90314,5,10843772
7,uno,pronoun,5.0,2,,5,5,,0,0,na,,,FO,,7,0,5,0,7,0,5,0
8,uno,numeral,5.0,2,,5,5,,0,0,na,,,FO,,7,0,5,0,7,0,5,0
9,avere,verb,6.0,3,4,4,10,4565587,6920665,0.014887629999999994,na,avere,,FO,,12,595981,12,28646,14,47762,16,3925013
10,che,pronoun,7.0,2,,8,6,,6063914,0.0229,na,,,FO,,5,1282465,7,44710,4,133867,11,6109810
11,che,conjunction,7.0,2,,8,6,,0,0,na,,,,,5,0,7,0,4,0,11,0
12,a,preposition,8.0,2,,9,7,,3739581,0.01849,na,,,FO,,9,841130,8,43252,5,110607,7,9030828
13,non,adverb,8.5,2,,6,11,,6257811,0.0145,na,,,FO,,13,530321,14,20907,10,71940,25,1849594
14,in,preposition,10.0,2,,12,8,,2156931,0.0162,na,,,FO,,8,966911,9,40300,8,83016,8,8539785
15,fare,verb,10.67,3,2,11,19,5447388,2656969,0.006665868,na,avere,,FO,,27,201339,30,9002,21,29928,42,1079696
16,per,preposition,11.0,2,,10,12,,2866558,0.0141,na,,,FO,,11,816137,11,32315,11,57369,12,5279073
17,si,pronoun,15.5,2,,16,15,,1782327,0.00759,na,,,FO,,18,338332,20,12849,12,52849,18,3602248
18,potere,verb,15.67,3,3,17,27,5246073,1696609,0.004251943999999998,na,avere,,FO,,23,262422,18,15152,29,19885,47,945358
19,del,preposition,16.0,2,,23,9,,1485679,0.015732999999999997,na,,,,,6,1055850,6,53246,9,76396,6,10709179
20,questo,pronoun,17.5,2,,15,20,,1857299,0.005785,na,,,FO,,14,448918,19,13727,20,32070,29,1544979
21,con,preposition,20.0,2,,24,16,,1440540,0.00741,na,,,FO,,21,285600,24,11607,18,33489,15,4379897
22,ma,conjunction,20.5,2,,19,22,,1650248,0.00537,na,,,FO,,34,154309,27,10353,23,28460,39,1115931
23,mi,pronoun,21.5,2,,13,30,,2029284,0.0038,na,,,FO,,67,85260,973,320,39,12781,1731,31740
24,della,preposition,23.5,2,,34,13,,1180082,0.010329999999999999,na,,,,,10,822336,10,33677,13,52447,9,7162684
25,da,preposition,24.0,2,,30,18,,1309931,0.00692,na,,,FO,,25,215123,21,12266,16,36211,17,3794516
26,tutto,pronoun,26.0,2,,27,25,,1386355,0.004408,na,,,FO,,28,196738,39,6168,26,24513,49,835013
27,dovere,verb,26.67,3,5,32,43,3429316,1261616,0.0022993569999999997,na,avere,,FO,,20,310725,29,9663,68,7737,94,391936
28,stare,verb,27.0,3,23,18,40,1431262,1672437,0.0023329529999999987,na,essere,,FO,,85,64290,62,4125,122,4777,222,214391
29,volere,verb,27.33,3,16,21,45,1687626,1532246,0.0021121769999999994,na,avere,,FO,,48,124999,262,1165,55,9137,302,168598
30,come,adverb,27.5,2,,31,24,,1308477,0.00468,na,,,FO,,31,178662,26,10524,28,21649,24,2041084
31,come,conjunction,27.5,2,,31,24,,0,0,na,,,FO,,31,0,26,0,28,0,24,0
32,al,preposition,28.0,2,,39,17,,944766,0.007313,na,,,,,15,436458,15,19672,15,41414,14,4586600
33,se,pronoun,28.5,2,,29,28,,1328637,0.00407,na,,,FO,,45,130636,36,6595,31,19622,89,415156
34,se,conjunction,28.5,2,,29,28,,0,0,na,,,FO,,45,0,36,0,31,0,89,0
35,mio,pronoun,29.0,2,,20,38,,1592740,0.0024460000000000003,na,,,FO,,63,87146,433,759,38,13494,1331,42266
36,quello,pronoun,29.5,2,,28,31,,1345450,0.0037969,na,,,FO,,56,106979,48,5464,19,32836,46,1009763
37,andare,verb,30.33,3,15,22,54,1699591,1515918,0.0018221849999999998,na,essere,,FO,,126,46555,170,1723,76,7193,114,318287
38,dire,verb,31.33,3,7,40,47,2644708,934787,0.0020590080000000006,na,avere,,FO,,111,51853,335,981,35,18394,359,144011
39,alla,preposition,33.5,2,,44,23,,849228,0.00471,na,,,,,17,345098,22,11923,24,26484,20,2772182
40,cosa,noun,34.33,3,45,14,44,994787,1907478,0.002241,f,,,FO,,168,37137,182,1684,66,8017,542,101340
41,suo,pronoun,35.5,2,,42,29,,908296,0.003964,na,,,FO,,44,133407,34,6862,17,35998,19,3157567
42,ci,adverb,36.5,2,,36,37,,1131202,0.00263,na,,,FO,,59,96564,106,2430,92,6154,368,142070
43,ci,pronoun,36.5,2,,36,37,,0,0,na,,,FO,,59,0,106,0,92,0,368,0
44,ti,pronoun,37.0,2,,26,48,,1414271,0.00204,na,,,FO,,7631,221,4955,27,226,2584,3494,13550
45,nel,preposition,39.5,2,,58,21,,553271,0.005409,na,,,,,19,314971,16,18663,25,25075,10,6420036
46,sapere,verb,40.33,3,25,33,63,1293519,1235831,0.001560293,na,avere,,FO,,135,44139,360,930,64,8423,475,113420
47,io,pronoun,40.5,2,,35,46,,1147459,0.00209,na,,,FO,,337,19903,1190,244,42,11610,2104,25328
48,solo,adverb,42.5,2,,43,42,,859935,0.002302,na,,,FO,,81,67516,59,4251,85,6701,71,526977
49,solo,conjunction,42.5,2,,43,42,,0,0,na,,,FO,,81,0,59,0,85,0,71,0
50,altro,adverb,44.5,2,,53,36,,622790,0.002802,na,,,FO,,53,109618,32,7276,32,19137,40,1108098
51,altro,pronoun,44.5,2,,53,36,,0,0,na,,,FO,,53,0,32,0,32,0,40,0
52,vedere,verb,44.67,3,35,46,53,1164013,780294,0.0018533719999999998,na,avere,,FO,,202,30522,356,936,44,10726,155,265372
53,più,adverb,51.0,2,,76,26,,424219,0.00427,na,,,FO,,26,201376,17,17042,22,29152,27,1596647
54,più,preposition,51.0,2,,76,26,,0,0,na,,,FO,,26,0,17,0,22,0,27,0
55,anche,adverb,51.5,2,,71,32,,467913,0.00331,na,,,FO,,29,183178,33,7026,53,9307,28,1562487
56,anche,conjunction,51.5,2,,71,32,,0,0,na,,,FO,,29,0,33,0,53,0,28,0
57,o,conjunction,52.0,2,,70,34,,468425,0.00302,na,,,FO,,58,98049,41,6088,27,22643,45,1030825
58,anno,noun,53.67,3,6,106,49,3219640,320602,0.002017,m,,,FO,,82,66311,35,6597,90,6221,31,1463798
